Date,1990_base,1990_cc_ideal_h5,1995_base,1995_cc_ideal_h5,2000_base,2000_cc_ideal_h5,2005_base,2005_cc_ideal_h5,2010_base,2010_cc_ideal_h5,2015_base,2015_cc_ideal_h5,2020_base,2020_cc_ideal_h5
1990-06-29,1113391.8195447978,1106230.2697097266,,,,,,,,,,,,
1990-07-06,1127622.357265056,1113941.4703058908,,,,,,,,,,,,
1990-07-13,1153075.8814045512,1130167.7097354508,,,,,,,,,,,,
1990-07-20,1111728.265446128,1099270.4957467287,,,,,,,,,,,,
1990-07-27,1096332.5561988195,1085159.8234669988,,,,,,,,,,,,
1990-08-03,1032800.7215216658,1023974.5782017153,,,,,,,,,,,,
1990-08-10,1054044.913942738,1045448.9048797747,,,,,,,,,,,,
1990-08-17,1024651.6101505376,1019895.6401085904,,,,,,,,,,,,
1990-08-24,1025284.855833866,1020030.5551896032,,,,,,,,,,,,
1990-08-31,1030601.6155522624,1028830.8027604427,,,,,,,,,,,,
1990-09-07,1023932.5842315392,1026214.4808579509,,,,,,,,,,,,
1990-09-14,1011136.8337881368,1013919.9185482482,,,,,,,,,,,,
1990-09-21,974705.3742224736,984942.5551436158,,,,,,,,,,,,
1990-09-28,1028453.5558084204,1035345.7075839305,,,,,,,,,,,,
1990-10-05,1014177.3573689528,1024387.9537399451,,,,,,,,,,,,
1990-10-12,986407.1995207688,997783.2632589422,,,,,,,,,,,,
1990-10-19,1039714.1225408202,1047319.1541934302,,,,,,,,,,,,
1990-10-26,986633.7180211138,1002837.5831626727,,,,,,,,,,,,
1990-11-02,1021586.3486848212,1038861.1070224798,,,,,,,,,,,,
1990-11-09,1049576.966571887,1068100.6685480154,,,,,,,,,,,,
1990-11-16,1072510.6163904837,1091644.520389152,,,,,,,,,,,,
1990-11-23,1055281.0388241694,1077285.8774507018,,,,,,,,,,,,
1990-11-30,1093020.6518128118,1110718.2410293622,,,,,,,,,,,,
1990-12-07,1109518.196369808,1127232.4807157526,,,,,,,,,,,,
1990-12-14,1101173.8634366328,1123145.9298352976,,,,,,,,,,,,
1990-12-21,1115932.180124762,1135002.7059950705,,,,,,,,,,,,
1990-12-28,1117099.336161747,1135627.504298673,,,,,,,,,,,,
1991-01-04,1055755.371886598,1088353.3297539388,,,,,,,,,,,,
1991-01-11,1053056.9308891397,1086545.9274872295,,,,,,,,,,,,
1991-01-18,1140031.7604129552,1165488.1359954278,,,,,,,,,,,,
1991-01-25,1158519.4024776006,1185527.488498297,,,,,,,,,,,,
1991-02-01,1212964.3169135686,1238392.6815160667,,,,,,,,,,,,
1991-02-08,1291127.8953826027,1297957.8185612909,,,,,,,,,,,,
1991-02-15,1305058.4536381597,1307250.327592176,,,,,,,,,,,,
1991-02-22,1316265.2646733643,1308886.134465063,,,,,,,,,,,,
1991-03-01,1311330.3320055157,1310482.3166891509,,,,,,,,,,,,
1991-03-08,1351034.4660934897,1344147.267631726,,,,,,,,,,,,
1991-03-15,1342459.9946222226,1347628.0139736352,,,,,,,,,,,,
1991-03-22,1338787.7116192805,1350915.3273400436,,,,,,,,,,,,
1991-03-29,1357861.2951442474,1368300.355224153,,,,,,,,,,,,
1991-04-05,1386666.668849805,1393165.163090615,,,,,,,,,,,,
1991-04-12,1399110.6037346204,1400557.5128664132,,,,,,,,,,,,
1991-04-19,1393441.6595840603,1402624.3915048083,,,,,,,,,,,,
