Date,ABT,AZO,BDX,BMY,CAH,CHD,CL,CLX,CVS,DHR,DLTR,GD,GIS,GPC,HRL,HSY,ITW,JNJ,KMB,KO,LOW,MCD,MRK,NKE,ORLY,PEP,PFE,PG,ROST,SBUX,SPY,SYK,SYY,TGT,TJX,UNH
1999-01-01,10.749228477478027,34.0,19.92741584777832,23.063268661499023,21.602130889892578,2.0633490085601807,12.40255069732666,27.21437644958496,16.252662658691406,5.1498308181762695,10.63888931274414,16.187129974365234,8.378857612609863,13.1408052444458,2.3172149658203125,16.657169342041016,17.65440559387207,20.648374557495117,20.65102195739746,16.37896156311035,9.323811531066895,20.328163146972656,27.555234909057617,3.909663677215576,0.7927079796791077,20.271648406982422,14.562255859375,22.286623001098633,1.871140718460083,2.386016368865967,78.6163330078125,10.473611831665039,6.906017780303955,15.996760368347168,2.7306265830993652,4.512135028839111
1999-01-08,10.66491413116455,33.625,19.55377197265625,21.429889678955078,20.949214935302734,2.0073812007904053,10.582225799560547,25.70493507385254,15.317259788513184,4.933452129364014,8.88888931274414,15.565918922424316,8.602285385131836,12.91115665435791,2.2694807052612305,15.861601829528809,17.217403411865234,19.376258850097656,20.23653221130371,14.978426933288574,8.90147590637207,19.855030059814453,26.187084197998047,3.761698007583618,0.8166670203208923,19.276718139648438,13.26896858215332,20.891813278198242,1.7924177646636963,2.4321227073669434,75.1485366821289,9.762287139892578,6.701975345611572,15.44019603729248,2.6282284259796143,4.081839084625244
1999-01-15,10.149616241455078,33.5,18.339448928833008,21.24476432800293,21.50885009765625,2.048424482345581,10.782548904418945,26.459667205810547,15.609580039978027,5.143651485443115,9.541666984558105,15.376984596252441,8.477429389953613,12.962189674377441,2.1957128047943115,15.380945205688477,17.06009292602539,19.857173919677734,19.62699317932129,14.521407127380371,8.949845314025879,20.018177032470703,26.469764709472656,3.5909719467163086,0.856249988079071,18.87253761291504,13.6196928024292,21.213672637939453,1.8015010356903076,2.4321227073669434,76.15592956542969,9.811349868774414,6.340977668762207,16.930360794067383,2.594095230102539,3.986217498779297
1999-01-22,10.382209777832031,32.8125,18.090356826782227,22.31191635131836,22.068498611450195,2.3319947719573975,11.048266410827637,28.812625885009766,16.408958435058594,5.261113166809082,10.222222328186035,16.606426239013672,8.858579635620117,13.038734436035156,2.4774773120880127,16.955514907836914,16.3084716796875,21.03619956970215,18.993091583251953,15.361737251281738,9.773313522338867,20.393417358398438,25.768735885620117,3.88689923286438,0.8333330154418945,19.80527687072754,14.912975311279297,21.606800079345703,1.9256378412246704,2.256340980529785,78.53884887695312,9.737761497497559,6.764756202697754,18.115299224853516,2.6623611450195312,4.25515079498291
1999-01-29,10.290583610534668,34.125,17.9969425201416,22.73658561706543,23.747426986694336,2.440199613571167,11.843677520751953,28.977819442749023,16.526029586791992,5.075645923614502,9.11111068725586,17.016239166259766,8.54314136505127,12.707030296325684,2.4774773120880127,15.132335662841797,18.17879295349121,20.81900405883789,17.969057083129883,14.993172645568848,9.729970932006836,21.07863426208496,27.18209457397461,4.325098037719727,0.8291670083999634,18.93471336364746,15.380605697631836,21.606800079345703,2.058858871459961,2.348554849624634,77.80265045166016,9.24719524383545,6.6548895835876465,18.725727081298828,2.7306265830993652,4.398585796356201
1999-02-05,10.346969604492188,34.9375,17.46763038635254,21.69122314453125,22.311016082763672,2.421189308166504,12.202040672302246,31.427274703979492,16.584566116333008,4.989093780517578,8.708333015441895,16.463882446289062,8.615432739257812,12.681507110595703,2.5734376907348633,15.82845401763916,18.9304141998291,21.005170822143555,18.70050621032715,15.184815406799316,9.480762481689453,21.40493392944336,27.272550582885742,4.501514911651611,0.765625,18.841442108154297,15.490213394165039,21.760595321655273,2.058858871459961,2.29380202293396,77.57019805908203,9.271721839904785,6.6548895835876465,17.684402465820312,2.696493625640869,4.171483516693115
1999-02-12,10.375161170959473,36.375,16.751482009887695,21.80011749267578,22.851993560791016,2.477322578430176,12.2370023727417,29.987293243408203,16.62358283996582,4.723254203796387,9.277777671813965,17.123151779174805,8.628576278686523,12.324288368225098,2.5908827781677246,16.391984939575195,18.912933349609375,21.488130569458008,18.676118850708008,15.243796348571777,9.599952697753906,21.649658203125,28.177112579345703,4.421844482421875,0.706250011920929,18.685976028442383,15.356433868408203,22.54489517211914,2.149690628051758,2.1641273498535156,76.6983871459961,8.805686950683594,6.780452728271484,17.70236587524414,2.5339715480804443,4.512135028839111
1999-02-19,10.431550979614258,35.0,16.689207077026367,22.235692977905273,21.7700138092041,2.4848074913024902,11.922347068786621,28.28010368347168,16.526029586791992,4.7727131843566895,9.0,17.069700241088867,8.510284423828125,12.298766136169434,2.4818387031555176,16.723464965820312,19.210084915161133,21.02133560180664,18.70050621032715,15.155325889587402,10.217557907104492,21.943313598632812,29.239980697631836,4.8885016441345215,0.7552080154418945,19.059072494506836,15.327160835266113,22.098913192749023,2.1254689693450928,2.3658440113067627,76.9115219116211,9.210404396057129,7.000189304351807,18.107791900634766,2.57952618598938,4.571900844573975
1999-02-26,10.924933433532715,35.6875,17.311941146850586,22.71480941772461,22.068498611450195,2.6831417083740234,12.639077186584473,30.640485763549805,15.765090942382812,4.853086471557617,8.98611068725586,16.96278953552246,8.418282508850098,12.324288368225098,2.4992854595184326,15.8057861328125,19.000333786010742,21.64372444152832,18.481069564819336,14.845738410949707,10.282567977905273,23.525856018066406,29.104307174682617,4.666553974151611,0.7395830154418945,18.779264450073242,15.56138801574707,22.637163162231445,2.316215991973877,2.607903480529785,77.51207733154297,9.553801536560059,7.031579494476318,18.95294189453125,2.915489912033081,4.781070232391357
1999-03-05,11.418313980102539,34.25,19.30467987060547,21.77834129333496,22.087156295776367,2.4436428546905518,13.076115608215332,30.00214385986328,16.291887283325195,5.335299968719482,8.88888931274414,17.19441032409668,8.267135620117188,12.535440444946289,2.5429039001464844,16.255014419555664,18.755615234375,22.11051368713379,19.41590118408203,15.65658187866211,11.290238380432129,23.330068588256836,30.065828323364258,5.070609092712402,0.7291669845581055,18.93471336364746,16.469018936157227,22.667917251586914,2.1983139514923096,2.8240280151367188,80.97986602783203,10.191537857055664,6.9531025886535645,20.391494750976562,3.040764570236206,5.127697467803955
1999-03-12,11.164578437805176,33.9375,18.475738525390625,21.821897506713867,22.460237503051758,2.4660964012145996,12.481743812561035,28.369165420532227,15.784597396850586,5.236385822296143,7.597221851348877,17.853687286376953,7.991126537322998,12.535440444946289,2.4774773120880127,15.306657791137695,19.070255279541016,22.359481811523438,19.78363037109375,16.13993263244629,11.257728576660156,22.86622428894043,31.22307586669922,5.0080108642578125,0.699999988079071,20.028474807739258,16.74714469909668,22.821712493896484,2.0921883583068848,2.7923295497894287,81.9872817993164,10.498144149780273,7.015886306762695,20.03186798095703,3.052154064178467,5.127697467803955
1999-03-19,10.657096862792969,31.25,20.285860061645508,20.624086380004883,19.699352264404297,2.451127767562866,13.023673057556152,28.91843032836914,15.296815872192383,4.970549583435059,7.7916669845581055,18.227867126464844,7.977980613708496,11.840465545654297,2.503647804260254,15.140287399291992,17.881637573242188,22.90408706665039,19.29332733154297,15.578283309936523,10.98685359954834,23.09490203857422,29.975074768066406,5.184146881103516,0.6354169845581055,19.591711044311523,16.132312774658203,24.728628158569336,2.0558016300201416,2.685708522796631,80.4771499633789,9.970785140991211,6.9531025886535645,19.99589729309082,3.080625295639038,5.044029235839844
1999-03-26,10.727577209472656,30.625,19.09992027282715,22.017902374267578,19.699352264404297,2.4062211513519287,13.006190299987793,27.671443939208984,14.145657539367676,5.15756893157959,6.5,18.673322677612305,8.00426959991455,11.814722061157227,2.4905636310577393,14.840810775756836,17.252365112304688,23.43311309814453,19.121715545654297,14.41065502166748,10.629293441772461,23.84621810913086,29.02202033996582,5.121481895446777,0.753125011920929,19.27973747253418,16.344573974609375,24.22115135192871,2.1285741329193115,2.7318148612976074,80.38005828857422,9.811349868774414,6.82753849029541,19.43844985961914,3.063542366027832,5.044029235839844
1999-04-02,11.601581573486328,29.5,18.97509002685547,22.37839126586914,19.33319854736328,2.3725404739379883,13.329596519470215,28.23556137084961,15.10170841217041,5.862560749053955,7.472221851348877,18.65549659729004,7.964838981628418,11.994902610778809,2.429497718811035,13.975652694702148,17.20598030090332,24.211103439331055,19.317848205566406,14.395869255065918,11.12770938873291,24.499540328979492,29.634681701660156,5.309478759765625,0.7645829916000366,19.21735191345215,16.681278228759766,24.790149688720703,2.080059289932251,2.939293146133423,83.7979965209961,9.52927017211914,6.725996971130371,20.409486770629883,3.234372854232788,4.273744106292725
1999-04-09,11.263248443603516,28.375,19.131120681762695,21.547943115234375,20.714141845703125,2.2789881229400635,12.805156707763672,27.30031394958496,14.04809856414795,6.462419509887695,7.7916669845581055,19.992673873901367,8.28768253326416,12.741369247436523,2.5385422706604004,13.576348304748535,20.377347946166992,22.950748443603516,19.832643508911133,15.193989753723145,10.152549743652344,23.127565383911133,28.091686248779297,5.377840518951416,0.8062499761581421,18.468624114990234,15.224674224853516,23.74441146850586,2.0770275592803955,3.0026915073394775,82.43858337402344,9.860403060913086,7.104039192199707,19.672224044799805,3.0236823558807373,4.656287670135498
1999-04-16,11.837255477905273,29.25,20.504323959350586,23.777042388916016,19.87436866760254,2.350088119506836,13.819076538085938,28.90359115600586,13.989564895629883,6.283081531524658,8.652777671813965,19.456188201904297,8.367116928100586,13.024507522583008,2.572521686553955,14.624516487121582,19.88674545288086,25.51813316345215,23.730545043945312,15.72607707977295,10.28738784790039,23.356224060058594,28.273223876953125,5.605716228485107,0.796875,18.43743324279785,15.027050971984863,23.160030364990234,2.1043174266815186,3.0199811458587646,84.61368560791016,11.798144340515137,7.230052471160889,19.780107498168945,3.040764570236206,5.152400970458984
1999-04-23,11.455406188964844,30.0625,19.193532943725586,22.815475463867188,17.989582061767578,2.5184855461120605,14.032330513000488,27.07763671875,14.751825332641602,6.617024898529053,8.277777671813965,20.207263946533203,7.8838911056518555,12.123603820800781,2.568138360977173,14.025558471679688,22.199567794799805,24.56897735595703,24.686635971069336,16.03646469116211,9.062437057495117,21.886255264282227,25.550275802612305,5.685471057891846,0.753125011920929,18.43743324279785,13.577778816223145,23.07488250732422,2.192248582839966,3.3139097690582275,83.48727416992188,12.558526039123535,7.340316295623779,19.15074348449707,2.9724326133728027,5.373558521270752
1999-04-30,10.691718101501465,30.0625,19.287166595458984,23.624059677124023,17.802963256835938,2.4735794067382812,13.892101287841797,25.7300968170166,14.63459587097168,6.697419166564941,8.041666984558105,21.101388931274414,7.8838911056518555,13.101724624633789,2.703995943069458,14.60788345336914,21.621362686157227,24.304462432861328,23.926658630371094,16.346851348876953,9.149162292480469,21.330936431884766,27.002513885498047,5.719651222229004,0.7124999761581421,18.312637329101562,13.585102081298828,22.73554801940918,2.249859571456909,3.2505135536193848,83.263916015625,11.969844818115234,7.65534782409668,18.323575973510742,2.778827667236328,5.582763195037842
1999-05-07,11.299847602844238,31.3125,18.91266441345215,24.257822036743164,19.183900833129883,2.559601068496704,13.567803382873535,25.744977951049805,13.989816665649414,6.586104393005371,7.763888835906982,20.582796096801758,8.267824172973633,13.35912799835205,2.756587266921997,15.306657791137695,21.0957088470459,23.713184356689453,23.583450317382812,15.548721313476562,9.69117546081543,21.36359977722168,26.503297805786133,5.742437362670898,0.7270830273628235,18.53101348876953,13.824004173278809,22.704696655273438,2.409048080444336,3.5674972534179688,85.35160064697266,11.920785903930664,7.65534782409668,19.222673416137695,2.7617440223693848,5.702308654785156
1999-05-14,10.776569366455078,32.0625,19.068708419799805,24.126699447631836,19.277210235595703,2.4507622718811035,13.734333038330078,26.4299259185791,15.513848304748535,6.227424621582031,8.208333015441895,18.883960723876953,8.208246231079102,13.230425834655762,2.7784981727600098,14.94063949584961,21.025632858276367,23.72067642211914,23.681503295898438,16.066024780273438,9.322607040405273,20.938945770263672,26.231008529663086,5.833588123321533,0.7250000238418579,18.780582427978516,13.229968070983887,23.861528396606445,2.3681137561798096,3.342725992202759,83.33192443847656,12.166070938110352,7.560840606689453,18.43147087097168,2.7364649772644043,6.371759414672852
1999-05-21,9.956306457519531,29.75,19.162336349487305,22.94659423828125,17.802963256835938,2.544588804244995,14.093689918518066,24.270858764648438,14.536900520324707,6.0357160568237305,7.555555820465088,18.454776763916016,8.327399253845215,13.7452392578125,2.68208384513855,14.553519248962402,20.74529266357422,22.53464698791504,23.166704177856445,16.11036491394043,8.85647201538086,19.82830238342285,23.961896896362305,5.37214469909668,0.7494789958000183,17.96946907043457,12.188590049743652,23.198291778564453,2.2316668033599854,3.2908577919006348,79.89453125,11.528335571289062,7.387572288513184,17.16306495666504,2.702259063720703,5.630581378936768
1999-05-28,9.956306457519531,29.625,18.475738525390625,23.055858612060547,17.392417907714844,2.5933780670166016,14.13751220703125,24.79201889038086,14.751825332641602,6.307816505432129,7.4583330154418945,19.08066749572754,8.525982856750488,14.002635955810547,2.769735336303711,14.386428833007812,22.374786376953125,23.39295768737793,22.946060180664062,16.27294921875,9.235885620117188,20.671260833740234,24.80146598815918,5.37214469909668,0.7104169726371765,17.96946907043457,12.731289863586426,23.07488250732422,2.292311191558838,3.3139097690582275,81.15689086914062,11.785881042480469,7.65534782409668,17.57729721069336,2.827679395675659,6.120716571807861
1999-06-04,9.871454238891602,29.625,19.536846160888672,22.83732795715332,17.280437469482422,2.7022182941436768,14.233925819396973,24.494203567504883,14.771367073059082,6.227424621582031,7.972221851348877,18.383241653442383,8.42668628692627,14.031745910644531,2.734673023223877,14.369721412658691,22.234617233276367,22.34736442565918,22.996694564819336,15.63740062713623,9.214204788208008,21.914148330688477,24.740678787231445,5.263902187347412,0.7458329796791077,17.53271484375,11.682562828063965,22.026029586791992,2.14373517036438,3.267803907394409,81.35105895996094,12.26418685913086,7.560840606689453,17.36117935180664,2.7649691104888916,6.335899829864502
1999-06-11,10.097734451293945,29.5625,15.515132904052734,23.777042388916016,17.46705436706543,2.6459219455718994,14.084920883178711,22.7818546295166,16.217239379882812,6.153214454650879,8.86111068725586,18.866071701049805,8.506123542785645,14.498598098754883,2.7302908897399902,14.937817573547363,21.98930549621582,22.95599365234375,22.77509880065918,15.304938316345215,9.658655166625977,22.339345932006836,25.333011627197266,5.195538520812988,0.768750011920929,18.19428062438965,11.785234451293945,21.779237747192383,2.3016536235809326,3.4234132766723633,83.62323760986328,12.166070938110352,7.8286213874816895,17.77539825439453,2.821979522705078,6.431532859802246
1999-06-18,9.843162536621094,29.1875,15.045927047729492,24.017431259155273,17.653675079345703,2.5858726501464844,14.014808654785156,23.422121047973633,15.709230422973633,5.893479824066162,8.847222328186035,19.688669204711914,8.479647636413574,14.031745910644531,2.6645524501800537,15.171746253967285,21.41110610961914,22.862363815307617,22.50424575805664,14.845641136169434,9.35512924194336,20.93290901184082,25.127967834472656,5.50342321395874,0.8187500238418579,17.72454833984375,11.895244598388672,21.085142135620117,2.3472001552581787,3.3888332843780518,82.29788970947266,12.166070938110352,7.608093738555908,18.549806594848633,2.947399854660034,5.983241081237793
1999-06-25,10.281587600708008,28.703125,14.826961517333984,24.27968406677246,20.247596740722656,2.6496737003326416,13.655447959899902,24.940919876098633,15.943700790405273,5.802213191986084,9.819443702697754,20.046316146850586,8.519365310668945,14.34298324584961,2.743438959121704,15.739856719970703,22.672645568847656,24.32930564880371,22.35651969909668,15.379014015197754,9.712858200073242,21.816024780273438,27.428897857666016,5.434986591339111,0.8374999761581421,18.94584846496582,13.15664005279541,21.239397048950195,2.5233170986175537,2.4839916229248047,86.03778076171875,11.883993148803711,7.560840606689453,20.026594161987305,3.101325511932373,5.821853160858154
1999-07-02,9.70174503326416,27.125,14.232633590698242,25.517669677734375,20.499067306518555,2.5220701694488525,13.112037658691406,24.896249771118164,15.63107681274414,5.727983474731445,9.527777671813965,20.18937110900879,8.684856414794922,14.628280639648438,2.8004112243652344,15.505919456481934,22.629405975341797,23.892337799072266,21.248554229736328,14.964164733886719,10.092263221740723,21.259986877441406,27.451683044433594,4.9217143058776855,0.824999988079071,19.3216495513916,13.090635299682617,21.069711685180664,2.4747347831726074,2.2707483768463135,87.06043243408203,11.724560737609863,7.696439266204834,20.566864013671875,3.1127278804779053,5.839785575866699
1999-07-09,9.475468635559082,26.375,14.952083587646484,26.460342407226562,19.86430549621582,2.63466215133667,13.918392181396484,26.072555541992188,15.728776931762695,5.981597900390625,10.159722328186035,19.43831443786621,8.923844337463379,14.34298324584961,2.8004112243652344,15.489217758178711,21.031829833984375,24.15763282775879,21.987199783325195,15.171585083007812,10.309073448181152,22.862668991088867,26.608755111694336,5.252490520477295,0.8604170083999634,19.352949142456055,13.266648292541504,22.550458908081055,2.5111727714538574,2.383134365081787,87.91751861572266,12.742485046386719,7.917694568634033,19.972557067871094,3.1526341438293457,5.827831268310547
1999-07-16,9.783890724182129,25.5,13.63830280303955,24.75039291381836,19.416231155395508,2.657179832458496,14.286518096923828,26.74260902404785,14.790905952453613,5.845515251159668,10.01388931274414,19.668292999267578,8.983832359313965,13.798307418823242,2.734673023223877,15.622880935668945,21.83940315246582,24.563383102416992,24.350879669189453,14.964164733886719,9.674501419067383,22.110393524169922,25.287425994873047,4.950230598449707,0.8354169726371765,19.947952270507812,12.386600494384766,22.149429321289062,2.468660354614258,2.207352876663208,84.78144073486328,12.018902778625488,7.94930362701416,18.747915267944336,2.9702045917510986,5.977262496948242
1999-07-23,9.854890823364258,25.0625,13.669587135314941,23.58849334716797,19.22953987121582,2.5258235931396484,13.874211311340332,26.56393814086914,15.805644035339355,5.8083977699279785,9.444443702697754,18.986364364624023,8.970500946044922,13.27957820892334,2.7110097408294678,15.439090728759766,21.066944122314453,23.283720016479492,23.53836441040039,14.578951835632324,9.327434539794922,21.816024780273438,24.33062171936035,4.893198490142822,0.7333329916000366,19.572166442871094,11.968583106994629,21.825458526611328,2.335056781768799,2.21311616897583,83.77828979492188,11.847203254699707,7.996711254119873,19.27018165588379,2.975905656814575,5.9473748207092285
1999-07-30,9.485686302185059,23.8125,13.106532096862793,23.08428955078125,20.032316207885742,2.972439765930176,13.856627464294434,25.01384925842285,14.553722381591797,5.245500087738037,8.416666984558105,18.788955688476562,8.7705659866333,12.55334758758545,2.763821840286255,15.38896369934082,20.522703170776367,22.67508888244629,24.252399444580078,14.430788040161133,8.134389877319336,21.816024780273438,23.328235626220703,4.379927158355713,0.7104169726371765,19.039794921875,11.81457233428955,23.264999389648438,2.1923420429229736,2.0344531536102295,82.16153717041016,12.26418685913086,7.807070732116699,16.910940170288086,2.8846898078918457,6.019104480743408
1999-08-06,9.372084617614746,23.8125,13.294219017028809,23.566577911376953,19.21086311340332,2.777630090713501,13.698362350463867,20.665559768676758,14.08425235748291,5.678501129150391,8.305556297302246,17.730167388916016,8.763899803161621,12.060554504394531,2.693406581878662,14.837577819824219,21.295169830322266,23.658260345458984,23.6368465423584,14.252996444702148,8.416383743286133,20.47501564025879,22.599233627319336,4.5852370262146,0.675000011920929,19.29030990600586,11.99670696258545,22.80063819885254,2.092136859893799,1.896133303642273,81.11942291259766,12.251921653747559,7.664833068847656,16.658811569213867,2.7079591751098633,5.7740349769592285
