Date,AAPL,ABT,ADP,AMAT,AME,ANET,AXP,AZO,BDX,BKNG,BR,CAH,CBOE,CHD,CL,CPRT,CTSH,CVS,DG,DHR,DIS,DLTR,ECL,EMR,EW,FAST,GIS,GOOGL,GPC,GWW,HD,ICE,INTC,ISRG,ITW,JNJ,KLAC,KO,LHX,LOW,LRCX,MA,MCD,MDT,MNST,MO,MSFT,NKE,ORCL,ORLY,PEP,QCOM,ROST,SBUX,SPY,SYK,SYY,TGT,TJX,TMO,TSCO,ULTA,UNH,UNP,UPS,WMT,^GSPC
1985-01-01,0.12611599266529083,1.139786958694458,1.9207019805908203,0.1992190033197403,1.805556058883667,,4.650805950164795,,1.9474329948425293,,,1.3791249990463257,,0.546875,1.5234379768371582,,,4.640625,,0.14965100586414337,1.2356940507888794,,1.6875,5.6875,,,2.5053279399871826,,9.259259223937988,6.9375,0.3731139898300171,,0.609375,,1.75,2.234375,0.3968749940395355,1.3072919845581055,6.347875118255615,0.7734379768371582,0.15555599331855774,,2.9236109256744385,0.3984380066394806,,3.3020830154418945,,0.1367190033197403,,,2.3125,,,,,0.3368059992790222,1.046875,2.5833330154418945,,2.4526751041412354,,,0.1289059966802597,3.435544013977051,,0.4101560115814209,164.24000549316406
1985-01-08,0.1367190033197403,1.1923929452896118,2.032227039337158,0.21679699420928955,2.009258985519409,,4.924383163452148,,1.9833849668502808,,,1.4668869972229004,,0.5625,1.5546879768371582,,,4.96875,,0.14702600240707397,1.3358850479125977,,1.734375,5.9583330154418945,,,2.5182418823242188,,9.666666984558105,7.46875,0.38408800959587097,,0.6458330154418945,,1.8984379768371582,2.359375,0.42500001192092896,1.3333330154418945,6.967899799346924,0.7929689884185791,0.17222200334072113,,3.0833330154418945,0.4101560115814209,,3.375,,0.13085900247097015,,,2.3263890743255615,,,,,0.35763901472091675,1.066406011581421,2.8333330154418945,,2.5020580291748047,,,0.1523440033197403,3.614150047302246,,0.42317700386047363,170.50999450683594
1985-01-15,0.13057999312877655,1.2590270042419434,2.0941851139068604,0.2382809966802597,2.009258985519409,,5.037032127380371,,2.049298048019409,,,1.5546499490737915,,0.5520830154418945,1.53125,,,5.0,,0.15227699279785156,1.4001109600067139,,1.734375,6.2604169845581055,,,2.54407000541687,,10.5925931930542,8.15625,0.38683098554611206,,0.6614580154418945,,2.015625,2.367187976837158,0.48750001192092896,1.3177080154418945,7.440299987792969,0.875,0.20000000298023224,,3.125,0.4492189884185791,,3.3697919845581055,,0.1445309966802597,,,2.381943941116333,,,,,0.35763901472091675,1.066406011581421,2.90625,,2.6831281185150146,,,0.15625,3.8137691020965576,,0.4570310115814209,175.22999572753906
1985-01-22,0.13504500687122345,1.2835760116577148,2.1313600540161133,0.25195300579071045,2.1388890743255615,,5.23014497756958,,2.1212029457092285,,,1.6047999858856201,,0.5833330154418945,1.5703129768371582,,,5.125,,0.15752799808979034,1.430938959121704,,1.7890629768371582,6.2708330154418945,,,2.57635498046875,,10.4074068069458,8.15625,0.37585699558258057,,0.640625,,2.148437976837158,2.335937976837158,0.574999988079071,1.2890629768371582,7.440299987792969,0.8945310115814209,0.21944400668144226,,3.256943941116333,0.453125,,3.4270830154418945,,0.14648400247097015,,,2.375,,,,,0.38541701436042786,1.097656011581421,3.03125,,2.7489709854125977,,,0.1875,3.8557939529418945,,0.48307299613952637,177.39999389648438
1985-01-29,0.13057999312877655,1.3221529722213745,2.2181010246276855,0.265625,2.0833330154418945,,5.4876298904418945,,2.1631479263305664,,,1.6549489498138428,,0.5885419845581055,1.53125,,,5.1875,,0.1732809990644455,1.5208539962768555,,1.7890629768371582,6.3229169845581055,,,2.9314920902252197,,10.666666984558105,8.28125,0.3539089858531952,,0.6614580154418945,,2.203125,2.375,0.5874999761581421,1.2682290077209473,7.853650093078613,0.8789060115814209,0.23055599629878998,,3.305556058883667,0.4726560115814209,,3.5104169845581055,,0.14648400247097015,,,2.4236109256744385,,,,,0.38541701436042786,1.089843988418579,3.0416669845581055,,2.8971190452575684,,,0.2070309966802597,3.992374897003174,,0.4765630066394806,180.35000610351562
1985-02-05,0.13616099953651428,1.3081250190734863,2.211905002593994,0.2734380066394806,2.1111109256744385,,5.4232587814331055,,2.157155990600586,,,1.7552490234375,,0.609375,1.546875,,,5.390625,,0.1759060025215149,1.556820034980774,,1.796875,6.3645830154418945,,,2.957319974899292,,10.629630088806152,8.609375,0.3511660099029541,,0.6458330154418945,,2.15625,2.390625,0.5625,1.2786459922790527,7.883174896240234,0.8632810115814209,0.26111099123954773,,3.3611109256744385,0.5214840173721313,,3.6197919845581055,,0.14648400247097015,,,2.5833330154418945,,,,,0.39236098527908325,1.109375,3.1145830154418945,,2.8477370738983154,,,0.2695310115814209,4.086931228637695,,0.48697900772094727,180.50999450683594
1985-02-12,0.125,1.3642380237579346,2.2366890907287598,0.24804699420928955,2.0740740299224854,,5.4876298904418945,,2.223068952560425,,,1.805398941040039,,0.6302080154418945,1.546875,,,5.5625,,0.16277900338172913,1.6133389472961426,,1.84375,6.4375,,,3.0025200843811035,,10.370369911193848,8.375,0.4032920002937317,,0.59375,,2.140625,2.40625,0.5562499761581421,1.2838540077209473,7.853650093078613,0.8984379768371582,0.25,,3.340277910232544,0.4765630066394806,,3.6875,,0.1484380066394806,,,2.6736109256744385,,,,,0.40625,1.1171879768371582,3.25,,2.995884895324707,,,0.2539060115814209,4.118450164794922,,0.484375,181.60000610351562
1985-02-19,0.12165199965238571,1.3326740264892578,2.1809260845184326,0.234375,2.055556058883667,,5.3749799728393555,,2.2530300617218018,,,1.805398941040039,,0.625,1.46875,,,5.15625,,0.16277900338172913,1.572234034538269,,1.765625,6.25,,,2.879836082458496,,10.296296119689941,8.1875,0.40603598952293396,,0.59375,,2.109375,2.375,0.512499988079071,1.3046879768371582,7.115524768829346,0.9023439884185791,0.22777800261974335,,3.3263890743255615,0.484375,,3.6614580154418945,,0.14648400247097015,,,2.631943941116333,,,,,0.4375,1.1171879768371582,3.0833330154418945,,2.962963104248047,,,0.25,4.002881050109863,,0.45442700386047363,179.22999572753906
1985-02-26,0.11272300034761429,1.3852800130844116,2.2366890907287598,0.22460900247097015,2.064815044403076,,5.535908222198486,,2.2410449981689453,,,1.805398941040039,,0.6302080154418945,1.453125,,,5.203125,,0.16277900338172913,1.5850789546966553,,1.7890629768371582,6.3333330154418945,,,2.847551107406616,,10.296296119689941,8.1875,0.4307270050048828,,0.5677080154418945,,2.21875,2.476562976837158,0.53125,1.375,7.381249904632568,0.9023439884185791,0.25277799367904663,,3.381943941116333,0.4726560115814209,,3.890625,,0.1445309966802597,,,2.6666669845581055,,,,,0.42708298563957214,1.1171879768371582,3.1041669845581055,,3.3086419105529785,,,0.2734380066394806,4.1919941902160645,,0.4752599895000458,182.05999755859375
1985-03-05,0.09933000057935715,1.3642380237579346,2.1313600540161133,0.21679699420928955,2.009258985519409,,5.326702117919922,,2.1092190742492676,,,1.7552490234375,,0.6354169845581055,1.46875,,,5.328125,,0.16277900338172913,1.5259920358657837,,1.8046879768371582,6.2708330154418945,,,2.834636926651001,,10.370369911193848,7.71875,0.4142659902572632,,0.53125,,2.140625,2.4375,0.4625000059604645,1.3697919845581055,6.997425079345703,0.8945310115814209,0.24722200632095337,,3.2638890743255615,0.48632800579071045,,3.78125,,0.1367190033197403,,,2.6736109256744385,,,,,0.40625,1.089843988418579,3.0833330154418945,,3.2757198810577393,,,0.2617189884185791,3.9188311100006104,,0.46744799613952637,178.7899932861328
