Date,VIX
1990-01-05,20.110000610351562
1990-01-12,24.639999389648438
1990-01-19,22.5
1990-01-26,26.280000686645508
1990-02-02,24.31999969482422
1990-02-09,23.690000534057617
1990-02-16,20.780000686645508
1990-02-23,23.690000534057617
1990-03-02,21.34000015258789
1990-03-09,20.299999237060547
1990-03-16,17.6200008392334
1990-03-23,20.459999084472656
1990-03-30,19.729999542236328
1990-04-06,21.760000228881836
1990-04-13,19.799999237060547
1990-04-20,23.329999923706055
1990-04-27,22.190000534057617
1990-05-04,17.280000686645508
1990-05-11,19.809999465942383
1990-05-18,17.200000762939453
1990-05-25,17.31999969482422
1990-06-01,17.09000015258789
1990-06-08,17.579999923706055
1990-06-15,15.899999618530273
1990-06-22,19.360000610351562
1990-06-29,15.5
1990-07-06,16.40999984741211
1990-07-13,17.09000015258789
1990-07-20,15.630000114440918
1990-07-27,21.1200008392334
1990-08-03,28.739999771118164
1990-08-10,25.75
1990-08-17,27.530000686645508
1990-08-24,33.93000030517578
1990-08-31,29.899999618530273
1990-09-07,28.729999542236328
1990-09-14,30.559999465942383
1990-09-21,30.040000915527344
1990-09-28,29.110000610351562
1990-10-05,27.850000381469727
1990-10-12,31.940000534057617
1990-10-19,27.860000610351562
1990-10-26,30.75
1990-11-02,30.030000686645508
1990-11-09,26.959999084472656
1990-11-16,21.34000015258789
1990-11-23,20.979999542236328
1990-11-30,22.15999984741211
1990-12-07,22.59000015258789
1990-12-14,23.850000381469727
1990-12-21,22.65999984741211
1990-12-28,25.049999237060547
1991-01-04,27.190000534057617
1991-01-11,32.630001068115234
1991-01-18,25.389999389648438
1991-01-25,22.200000762939453
1991-02-01,21.040000915527344
1991-02-08,23.3799991607666
1991-02-15,19.56999969482422
1991-02-22,21.010000228881836
1991-03-01,21.229999542236328
1991-03-08,20.809999465942383
1991-03-15,14.899999618530273
1991-03-22,16.489999771118164
1991-03-29,16.8799991607666
1991-04-05,17.6299991607666
1991-04-12,18.450000762939453
1991-04-19,15.680000305175781
1991-04-26,17.270000457763672
1991-05-03,17.239999771118164
1991-05-10,17.540000915527344
1991-05-17,16.639999389648438
1991-05-24,15.229999542236328
1991-05-31,15.930000305175781
1991-06-07,16.979999542236328
1991-06-14,15.979999542236328
1991-06-21,16.510000228881836
1991-06-28,19.549999237060547
1991-07-05,18.350000381469727
1991-07-12,18.290000915527344
1991-07-19,15.5
1991-07-26,15.449999809265137
1991-08-02,15.260000228881836
1991-08-09,15.449999809265137
1991-08-16,16.010000228881836
1991-08-23,14.40999984741211
1991-08-30,14.460000038146973
1991-09-06,16.760000228881836
1991-09-13,17.8799991607666
1991-09-20,17.079999923706055
1991-09-27,16.309999465942383
1991-10-04,15.630000114440918
1991-10-11,17.600000381469727
1991-10-18,15.869999885559082
1991-10-25,15.75
1991-11-01,15.600000381469727
1991-11-08,15.430000305175781
1991-11-15,21.18000030517578
1991-11-22,21.200000762939453
1991-11-29,20.260000228881836
1991-12-06,19.040000915527344
1991-12-13,17.8799991607666
1991-12-20,17.649999618530273
1991-12-27,15.699999809265137
1992-01-03,18.75
1992-01-10,18.450000762939453
1992-01-17,16.31999969482422
1992-01-24,16.239999771118164
1992-01-31,17.399999618530273
1992-02-07,18.510000228881836
1992-02-14,17.030000686645508
1992-02-21,16.8700008392334
1992-02-28,16.68000030517578
1992-03-06,19.75
1992-03-13,18.350000381469727
1992-03-20,16.81999969482422
1992-03-27,16.020000457763672
1992-04-03,16.719999313354492
1992-04-10,16.850000381469727
1992-04-17,14.850000381469727
1992-04-24,15.710000038146973
1992-05-01,16.610000610351562
1992-05-08,15.649999618530273
1992-05-15,14.819999694824219
1992-05-22,13.729999542236328
1992-05-29,13.859999656677246
1992-06-05,14.649999618530273
