Date,HD,MCD,DIS,NKE,WMT,KO,PEP,SYY,JNJ,ABT,MDT,ADP,GWW,EMR,ITW,AXP,MSFT,INTC,ORCL,UNH,QCOM,SYK,BDX,LOW,MO,DHR,UPS,AAPL,GOOGL,TJX,ROST,ISRG,UNP,FAST,GIS,CL,CHD,SPY,^GSPC
1985-01-01,0.20534928143024445,1.3413842916488647,0.8473926782608032,0.09257365763187408,0.2403346598148346,0.46941691637039185,0.8247491121292114,0.4581824243068695,0.8376988768577576,0.4237079620361328,0.21171045303344727,0.9305118918418884,3.6135027408599854,1.8309414386749268,0.8428977727890015,2.169785737991333,,0.3397672474384308,,0.09825452417135239,,0.26266714930534363,1.0173970460891724,0.4426001012325287,0.08763838559389114,0.08678814023733139,,0.09649918228387833,,,,,1.340062141418457,,0.6893031001091003,0.5708787441253662,0.33747193217277527,,164.24000549316406
1985-01-08,0.21138896048069,1.4146660566329956,0.9160996675491333,0.08860576897859573,0.24796444177627563,0.4787678122520447,0.8297030329704285,0.46673041582107544,0.8845637440681458,0.4465823769569397,0.21793699264526367,0.9845413565635681,3.8902101516723633,1.9181302785873413,0.9143934845924377,2.2974190711975098,,0.3600952923297882,,0.11611941456794739,,0.27891430258750916,1.0361788272857666,0.4537770748138428,0.0895736813545227,0.08526575565338135,,0.10461221635341644,,,,,1.4097291231155396,,0.6928560137748718,0.5825886130332947,0.3471137285232544,,170.50999450683594
1985-01-15,0.21289853751659393,1.4337842464447021,0.9601437449455261,0.09786321967840195,0.26780134439468384,0.4731570780277252,0.8495161533355713,0.46673041582107544,0.8874922394752502,0.47153809666633606,0.23869290947914124,1.0145573616027832,4.248310565948486,2.01537823677063,0.9708379507064819,2.3499755859375,,0.368807315826416,,0.11909662187099457,,0.27891430258750916,1.070613980293274,0.5007189512252808,0.0894354060292244,0.08831111341714859,,0.09991487115621567,,,,,1.4875924587249756,,0.6999624967575073,0.5813995599746704,0.34068563580513,,175.22999572753906
1985-01-22,0.20685893297195435,1.499786376953125,0.9812840223312378,0.09918557107448578,0.2830609679222107,0.4628714621067047,0.8470398187637329,0.4804075360298157,0.8757768273353577,0.480732798576355,0.24076832830905914,1.0325677394866943,4.248310565948486,2.0187315940856934,1.0348074436187744,2.4400699138641357,,0.35719141364097595,,0.14291594922542572,,0.3005777597427368,1.1081795692443848,0.5118960738182068,0.09095589071512222,0.09135626256465912,,0.1033313199877739,,,,,1.5039844512939453,,0.7088449001312256,0.5962312817573547,0.3599696755409241,,177.39999389648438
1985-01-29,0.19477933645248413,1.522172212600708,1.0429446697235107,0.09918557107448578,0.2792465090751648,0.4553900957107544,0.8643772006034851,0.4769882559776306,0.8904215693473816,0.4951808750629425,0.251146137714386,1.0745909214019775,4.313416481018066,2.0354974269866943,1.0611482858657837,2.560197353363037,,0.368807315826416,,0.15780285000801086,,0.3005777597427368,1.1300928592681885,0.5029541850090027,0.09316767752170563,0.10049203783273697,,0.09991487115621567,,,,,1.5572590827941895,,0.806555449962616,0.5813995599746704,0.36318397521972656,,180.35000610351562
1985-02-05,0.19326983392238617,1.547754168510437,1.0676088333129883,0.09918557107448578,0.28534987568855286,0.4591306746006012,0.921340823173523,0.4855363965034485,0.8962797522544861,0.4899267554283142,0.27709120512008667,1.0715887546539307,4.505405902862549,2.0489108562469482,1.0385704040527344,2.530165910720825,,0.3600952923297882,,0.2054414302110672,,0.30599331855773926,1.1269620656967163,0.49401289224624634,0.09607052057981491,0.10201432555913925,,0.10418520867824554,,,,,1.5941412448883057,,0.813661515712738,0.5873324275016785,0.37604016065597534,,180.50999450683594
1985-02-12,0.22195814549922943,1.5381611585617065,1.1063668727874756,0.10050871968269348,0.28382408618927,0.4610010087490082,0.9535390734672546,0.4889558255672455,0.909019947052002,0.5109425187110901,0.2532222867012024,1.083596110343933,4.382754325866699,2.0898284912109375,1.031044602394104,2.560197353363037,,0.3310554027557373,,0.1935318559408188,,0.3168249726295471,1.1613973379135132,0.514131486415863,0.09786751866340637,0.0944015234708786,,0.09564527124166489,,,,,1.6064351797103882,,0.8260976672172546,0.5873324275016785,0.3888958990573883,,181.60000610351562
1985-02-19,0.2234683334827423,1.5317654609680176,1.0781786441802979,0.09918557107448578,0.2662755250930786,0.46848195791244507,0.9386783242225647,0.4889558255672455,0.8972142934799194,0.4991208016872406,0.2573731243610382,1.0565800666809082,4.284633636474609,2.0289595127105713,1.0159928798675537,2.507641315460205,,0.3310554027557373,,0.19055457413196564,,0.3411961495876312,1.1770492792129517,0.5163665413856506,0.09717634320259094,0.0944015234708786,,0.09308350086212158,,,,,1.5613571405410767,,0.7923431992530823,0.5576692223548889,0.38568204641342163,,179.22999572753906
1985-02-26,0.23705749213695526,1.5573482513427734,1.086987853050232,0.09786321967840195,0.27848300337791443,0.4937290847301483,0.9510623216629028,0.4889558255672455,0.9355823397636414,0.5188235640525818,0.251146137714386,1.083596110343933,4.284633636474609,2.056011438369751,1.0686734914779663,2.5827229022979736,,0.3165351450443268,,0.20841945707798004,,0.33307212591171265,1.170788288116455,0.5163665413856506,0.10325855761766434,0.0944015234708786,,0.08625136315822601,,,,,1.63512122631073,,0.783460795879364,0.5517365336418152,0.3888958990573883,,182.05999755859375
1985-03-05,0.227997824549675,1.502984642982483,1.0505545139312744,0.09257365763187408,0.27390554547309875,0.49185910820961,0.9618686437606812,0.4769882559776306,0.9208253622055054,0.5109425187110901,0.25841090083122253,1.0325677394866943,4.039331436157227,2.0357236862182617,1.031044602394104,2.485119104385376,,0.2962074875831604,,0.19948698580265045,,0.3168249726295471,1.1088488101959229,0.5118960738182068,0.10035571455955505,0.0944015234708786,,0.07600358128547668,,,,,1.5427777767181396,,0.7799072861671448,0.5576692223548889,0.3921101987361908,,178.7899932861328
