Date,2000_def,2000_gro,2000_spy,2015_gro,2015_def,2015_spy,2020_gro,2020_def,2020_spy
2000-01-03,999999.9999999997,999999.9999999993,1000000.0,,,,,,
2000-01-07,1003934.2402508009,1006797.7446592132,1052632.216281959,,,,,,
2000-01-10,1003934.2402508009,1006797.7446592132,1052632.216281959,,,,,,
2000-01-14,998331.8583338889,988816.2103260709,1050816.961762274,,,,,,
2000-01-17,998331.8583338889,988816.2103260709,1050816.961762274,,,,,,
2000-01-21,989078.532678701,976082.4490422395,1018149.2747865062,,,,,,
2000-01-24,989078.532678701,976082.4490422395,1018149.2747865062,,,,,,
2000-01-28,987099.6744790225,982063.0541216242,1039474.1180167348,,,,,,
2000-01-31,987099.6744790222,982063.054121624,1039474.1180167348,,,,,,
2000-02-04,983992.099775893,949886.0712451718,1027677.3059597042,,,,,,
2000-02-07,983992.099775893,949886.0712451718,1027677.3059597042,,,,,,
2000-02-11,987260.1127555643,915754.9023721936,1003856.9628583035,,,,,,
2000-02-14,987260.1127555643,915754.9023721936,1003856.9628583035,,,,,,
2000-02-18,983218.1732762107,902022.6713521879,971416.1716488128,,,,,,
2000-02-21,983218.1732762107,902022.6713521879,971416.1716488128,,,,,,
2000-02-25,973429.0241651828,911511.6039654941,1005671.2450938321,,,,,,
2000-02-28,973429.0241651831,911511.6039654939,1005671.2450938321,,,,,,
2000-03-03,954059.5320846878,904551.0914525252,1022686.1294384219,,,,,,
2000-03-06,954059.5320846878,904551.0914525252,1022686.1294384219,,,,,,
2000-03-10,1014316.429230307,1053892.494197924,1062386.7896635586,,,,,,
2000-03-13,1014316.429230307,1053892.494197924,1062386.7896635586,,,,,,
2000-03-17,1001665.4884579577,1036943.2175166389,1111028.9285472794,,,,,,
2000-03-20,1001665.4884579577,1036943.2175166389,1111028.9285472794,,,,,,
2000-03-24,1020495.9166371332,1101211.2311941604,1082144.752781285,,,,,,
2000-03-27,1020495.9166371332,1101211.2311941604,1082144.752781285,,,,,,
2000-03-31,1043333.5845900201,1124646.270639999,1095222.416629948,,,,,,
2000-04-03,1043333.5845900201,1124646.270639999,1095222.416629948,,,,,,
