Date,AAPL,ABT,ADBE,AZO,BDX,BMY,CAH,CHD,CL,CLX,COST,CVS,DHR,DIS,DLTR,GD,GIS,GOOGL,GPC,HD,HRL,HSY,ITW,JNJ,KMB,KO,LOW,MA,MCD,MRK,MSFT,NKE,NVDA,ORLY,PEP,PFE,PG,ROST,SBUX,SPY,SYK,SYY,TGT,TJX,TMO,UNH,V,WMT
1999-01-01,0.33677372336387634,10.74923038482666,5.959351062774658,34.0,19.927410125732422,23.063257217407227,21.602128982543945,2.0633490085601807,12.402542114257812,27.214372634887695,25.024152755737305,16.25267219543457,5.149835109710693,23.563718795776367,10.63888931274414,16.1871395111084,8.378849983215332,,13.140804290771484,22.286161422729492,2.3172147274017334,16.657175064086914,17.654390335083008,20.648359298706055,20.65102195739746,16.378969192504883,9.323812484741211,,20.32815933227539,27.55524444580078,22.88156509399414,3.909663438796997,,0.7927079796791077,20.271638870239258,14.562255859375,22.286624908447266,1.8711395263671875,2.3860156536102295,78.6163330078125,10.473611831665039,6.90601921081543,15.996768951416016,2.730626106262207,14.330692291259766,4.512135982513428,,8.875288009643555
1999-01-08,0.30964475870132446,10.664921760559082,5.905175685882568,33.625,19.553773880004883,21.429895401000977,20.9492130279541,2.0073819160461426,10.582228660583496,25.704940795898438,24.128950119018555,15.317265510559082,4.933453559875488,26.764297485351562,8.88888931274414,15.565918922424316,8.602286338806152,,12.911157608032227,20.951385498046875,2.2694826126098633,15.861602783203125,17.21741485595703,19.376253128051758,20.236526489257812,14.97842788696289,8.901482582092285,,19.855039596557617,26.187084197998047,21.551237106323242,3.7616982460021973,,0.8166670203208923,19.276716232299805,13.268967628479004,20.891788482666016,1.792418360710144,2.432121515274048,75.14852142333984,9.762286186218262,6.701973915100098,15.44018840789795,2.6282293796539307,14.025781631469727,4.081839561462402,,8.413718223571777
1999-01-15,0.2904670238494873,10.149620056152344,5.990309715270996,33.5,18.339448928833008,21.244768142700195,21.50885581970215,2.0484235286712646,10.782544136047363,26.459671020507812,24.024858474731445,15.609590530395508,5.143651962280273,25.65105438232422,9.541666984558105,15.376982688903809,8.477431297302246,,12.962193489074707,21.618770599365234,2.195713520050049,15.380945205688477,17.06009292602539,19.857179641723633,19.626996994018555,14.521400451660156,8.949844360351562,,20.01818084716797,26.469758987426758,24.069351196289062,3.590972661972046,,0.856249988079071,18.872528076171875,13.6196928024292,21.21367645263672,1.8015010356903076,2.432121515274048,76.15593719482422,9.811349868774414,6.340978622436523,16.93034553527832,2.5940957069396973,13.568418502807617,3.9862194061279297,,8.3411865234375
1999-01-18,0.2904670238494873,10.149620056152344,5.990309715270996,33.5,18.339448928833008,21.244768142700195,21.50885581970215,2.0484235286712646,10.782544136047363,26.459671020507812,24.024858474731445,15.609590530395508,5.143651962280273,25.65105438232422,9.541666984558105,15.376982688903809,8.477431297302246,,12.962193489074707,21.618770599365234,2.195713520050049,15.380945205688477,17.06009292602539,19.857179641723633,19.626996994018555,14.521400451660156,8.949844360351562,,20.01818084716797,26.469758987426758,24.069351196289062,3.590972661972046,0.03755905106663704,0.856249988079071,18.872528076171875,13.6196928024292,21.21367645263672,1.8015010356903076,2.432121515274048,76.15593719482422,9.811349868774414,6.340978622436523,16.93034553527832,2.5940957069396973,13.568418502807617,3.9862194061279297,,8.3411865234375
1999-01-22,0.30590227246284485,10.382217407226562,6.067704200744629,32.8125,18.090351104736328,22.311912536621094,22.068490982055664,2.3319966793060303,11.048266410827637,28.812618255615234,27.147674560546875,16.408960342407227,5.261116027832031,24.862506866455078,10.222222328186035,16.606430053710938,8.8585786819458,,13.03873348236084,22.882061004638672,2.477477788925171,16.95549964904785,16.308469772338867,21.036195755004883,18.99307632446289,15.361725807189941,9.773317337036133,,20.393421173095703,25.76873016357422,26.454416275024414,3.886897563934326,0.03755905106663704,0.8333330154418945,19.805273056030273,14.91297435760498,21.606809616088867,1.9256374835968018,2.2563397884368896,78.53880310058594,9.737762451171875,6.764758110046387,18.115297317504883,2.6623618602752686,13.161872863769531,4.255153656005859,,8.980785369873047
1999-01-25,0.30590227246284485,10.382217407226562,6.067704200744629,32.8125,18.090351104736328,22.311912536621094,22.068490982055664,2.3319966793060303,11.048266410827637,28.812618255615234,27.147674560546875,16.408960342407227,5.261116027832031,24.862506866455078,10.222222328186035,16.606430053710938,8.8585786819458,,13.03873348236084,22.882061004638672,2.477477788925171,16.95549964904785,16.308469772338867,21.036195755004883,18.99307632446289,15.361725807189941,9.773317337036133,,20.393421173095703,25.76873016357422,26.454416275024414,3.886897563934326,0.03624684363603592,0.8333330154418945,19.805273056030273,14.91297435760498,21.606809616088867,1.9256374835968018,2.2563397884368896,78.53880310058594,9.737762451171875,6.764758110046387,18.115297317504883,2.6623618602752686,13.161872863769531,4.255153656005859,,8.980785369873047
1999-01-29,0.2834514081478119,10.290581703186035,5.719429969787598,34.125,17.996938705444336,22.736589431762695,23.74742317199707,2.4402005672454834,11.843673706054688,28.977811813354492,25.731998443603516,16.526033401489258,5.0756449699401855,24.584192276000977,9.11111068725586,17.016233444213867,8.543145179748535,,12.707026481628418,21.976316452026367,2.477477788925171,15.132331848144531,18.17879295349121,20.819002151489258,17.96906089782715,14.993165016174316,9.729975700378418,,21.078638076782227,27.182096481323242,24.183368682861328,4.325100898742676,0.03624684363603592,0.8291670083999634,18.934709548950195,15.380606651306152,21.606809616088867,2.0588581562042236,2.3485541343688965,77.80266571044922,9.247191429138184,6.654889106750488,18.725719451904297,2.730626106262207,13.009419441223145,4.398586273193359,,8.835726737976074
1999-02-01,0.2834514081478119,10.290581703186035,5.719429969787598,34.125,17.996938705444336,22.736589431762695,23.74742317199707,2.4402005672454834,11.843673706054688,28.977811813354492,25.731998443603516,16.526033401489258,5.0756449699401855,24.584192276000977,9.11111068725586,17.016233444213867,8.543145179748535,,12.707026481628418,21.976316452026367,2.477477788925171,15.132331848144531,18.17879295349121,20.819002151489258,17.96906089782715,14.993165016174316,9.729975700378418,,21.078638076782227,27.182096481323242,24.183368682861328,4.325100898742676,0.037797171622514725,0.8291670083999634,18.934709548950195,15.380606651306152,21.606809616088867,2.0588581562042236,2.3485541343688965,77.80266571044922,9.247191429138184,6.654889106750488,18.725719451904297,2.730626106262207,13.009419441223145,4.398586273193359,,8.835726737976074
1999-02-05,0.2965480089187622,10.346970558166504,5.580120086669922,34.9375,17.46762466430664,21.691225051879883,22.311010360717773,2.4211888313293457,12.202044486999512,31.427274703979492,27.02275276184082,16.58456802368164,4.9890971183776855,26.114912033081055,8.708333015441895,16.46388053894043,8.61543083190918,,12.681510925292969,22.21465301513672,2.5734353065490723,15.828445434570312,18.930410385131836,21.00517463684082,18.700510025024414,15.184821128845215,9.480766296386719,,21.404939651489258,27.272560119628906,24.744022369384766,4.501518249511719,0.037797171622514725,0.765625,18.841432571411133,15.490211486816406,21.76059341430664,2.0588581562042236,2.29380202293396,77.5702133178711,9.271723747253418,6.654889106750488,17.68440055847168,2.6964938640594482,12.247149467468262,4.17148494720459,,9.053317070007324
1999-02-08,0.2965480089187622,10.346970558166504,5.580120086669922,34.9375,17.46762466430664,21.691225051879883,22.311010360717773,2.4211888313293457,12.202044486999512,31.427274703979492,27.02275276184082,16.58456802368164,4.9890971183776855,26.114912033081055,8.708333015441895,16.46388053894043,8.61543083190918,,12.681510925292969,22.21465301513672,2.5734353065490723,15.828445434570312,18.930410385131836,21.00517463684082,18.700510025024414,15.184821128845215,9.480766296386719,,21.404939651489258,27.272560119628906,24.744022369384766,4.501518249511719,0.03982454910874367,0.765625,18.841432571411133,15.490211486816406,21.76059341430664,2.0588581562042236,2.29380202293396,77.5702133178711,9.271723747253418,6.654889106750488,17.68440055847168,2.6964938640594482,12.247149467468262,4.17148494720459,,9.053317070007324
